sampleId;datasetId
EPI_ISL_416380;1
EPI_ISL_416381;1
EPI_ISL_416382;1
EPI_ISL_416383;1
EPI_ISL_416384;1
EPI_ISL_416385;1
EPI_ISL_416386;1
EPI_ISL_416387;1
EPI_ISL_416388;1
EPI_ISL_416389;1
EPI_ISL_416390;1
EPI_ISL_416391;1
EPI_ISL_416392;1
EPI_ISL_416393;1
EPI_ISL_416394;1
EPI_ISL_416395;1
EPI_ISL_416396;1
EPI_ISL_416398;1
EPI_ISL_416399;1
EPI_ISL_416400;1
EPI_ISL_416401;1
EPI_ISL_416402;1
EPI_ISL_416403;1
EPI_ISL_416405;1
EPI_ISL_416406;1
EPI_ISL_416407;1
EPI_ISL_416408;1
EPI_ISL_416409;1
EPI_ISL_416410;1
EPI_ISL_416411;1
EPI_ISL_416412;1
EPI_ISL_416413;1
EPI_ISL_416414;1
EPI_ISL_416415;1
EPI_ISL_416417;1
EPI_ISL_416418;1
EPI_ISL_416419;1
EPI_ISL_416420;1
EPI_ISL_416421;1
EPI_ISL_416422;1
EPI_ISL_416423;1
EPI_ISL_416424;1
EPI_ISL_416426;1
EPI_ISL_416427;1
EPI_ISL_416428;1
EPI_ISL_416429;1
EPI_ISL_416430;1
EPI_ISL_416431;1
EPI_ISL_416433;1
EPI_ISL_416434;1
EPI_ISL_416435;1
EPI_ISL_416436;1
EPI_ISL_416437;1
EPI_ISL_416438;1
EPI_ISL_416439;1
EPI_ISL_416440;1
EPI_ISL_416441;1
EPI_ISL_416442;1
EPI_ISL_416443;1
EPI_ISL_416444;1
EPI_ISL_416445;1
EPI_ISL_416446;1
EPI_ISL_416447;1
EPI_ISL_416448;1
EPI_ISL_416449;1
EPI_ISL_416450;1
EPI_ISL_416451;1
EPI_ISL_416452;1
EPI_ISL_416453;1
EPI_ISL_416454;1
EPI_ISL_416455;1
EPI_ISL_416456;1
EPI_ISL_416457;1
EPI_ISL_416458;1
EPI_ISL_416459;1
EPI_ISL_416460;1
EPI_ISL_416461;1
EPI_ISL_416462;1
EPI_ISL_416463;1
EPI_ISL_416464;1
EPI_ISL_416465;1
EPI_ISL_416466;1
EPI_ISL_416467;1
EPI_ISL_416468;1
EPI_ISL_416469;1
EPI_ISL_416470;1
EPI_ISL_416471;1
EPI_ISL_416472;1
EPI_ISL_416475;1
EPI_ISL_416476;1
EPI_ISL_416477;1
EPI_ISL_416478;1
EPI_ISL_416479;1
EPI_ISL_416480;1
EPI_ISL_416481;1
EPI_ISL_416482;1
EPI_ISL_416483;1
EPI_ISL_416484;1
EPI_ISL_416485;1
EPI_ISL_416486;1
EPI_ISL_416487;1
EPI_ISL_416488;1
EPI_ISL_416489;1
EPI_ISL_416491;1
EPI_ISL_416492;1
EPI_ISL_416493;1
EPI_ISL_416494;1
EPI_ISL_416495;1
EPI_ISL_416496;1
EPI_ISL_416497;1
EPI_ISL_416498;1
EPI_ISL_416499;1
EPI_ISL_416500;1
EPI_ISL_416501;1
EPI_ISL_416502;1
EPI_ISL_416503;1
EPI_ISL_416504;1
EPI_ISL_416505;1
EPI_ISL_416506;1
EPI_ISL_416507;1
EPI_ISL_416508;1
EPI_ISL_416509;1
EPI_ISL_416510;1
EPI_ISL_416511;1
EPI_ISL_416512;1
EPI_ISL_416513;1
EPI_ISL_416514;1
EPI_ISL_416515;1
EPI_ISL_416516;1
EPI_ISL_416517;1
EPI_ISL_416518;1
EPI_ISL_416519;1
EPI_ISL_416520;1
EPI_ISL_416523;1
EPI_ISL_416526;1
EPI_ISL_416538;1
EPI_ISL_416539;1
EPI_ISL_416541;1
EPI_ISL_416542;1
EPI_ISL_416543;1
EPI_ISL_416565;1
EPI_ISL_416566;1
EPI_ISL_416567;1
EPI_ISL_416568;1
EPI_ISL_416569;1
EPI_ISL_416570;1
EPI_ISL_416571;1
EPI_ISL_416572;1
EPI_ISL_416573;1
EPI_ISL_416574;1
EPI_ISL_416575;1
EPI_ISL_416576;1
EPI_ISL_416577;1
EPI_ISL_416578;1
EPI_ISL_416579;1
EPI_ISL_416580;1
EPI_ISL_416581;1
EPI_ISL_416582;1
EPI_ISL_416583;1
EPI_ISL_416584;1
EPI_ISL_416585;1
EPI_ISL_416586;1
EPI_ISL_416587;1
EPI_ISL_416588;1
EPI_ISL_416589;1
EPI_ISL_416590;1
EPI_ISL_416591;1
EPI_ISL_416592;1
EPI_ISL_416593;1
EPI_ISL_416594;1
EPI_ISL_416595;1
EPI_ISL_416596;1
EPI_ISL_416597;1
EPI_ISL_416598;1
EPI_ISL_416599;1
EPI_ISL_416600;1
EPI_ISL_416601;1
EPI_ISL_416602;1
EPI_ISL_416603;1
EPI_ISL_416604;1
EPI_ISL_416605;1
EPI_ISL_416606;1
EPI_ISL_416607;1
EPI_ISL_416608;1
EPI_ISL_416609;1
EPI_ISL_416610;1
EPI_ISL_416611;1
EPI_ISL_416612;1
EPI_ISL_416613;1
EPI_ISL_416614;1
EPI_ISL_416615;1
EPI_ISL_416616;1
EPI_ISL_416617;1
EPI_ISL_416618;1
EPI_ISL_416619;1
EPI_ISL_416620;1
EPI_ISL_416621;1
EPI_ISL_416622;1
EPI_ISL_416623;1
EPI_ISL_416624;1
EPI_ISL_416625;1
EPI_ISL_416626;1
EPI_ISL_416627;1
EPI_ISL_416628;1
EPI_ISL_416629;1
EPI_ISL_416630;1
EPI_ISL_416631;1
EPI_ISL_416632;1
EPI_ISL_416633;1
EPI_ISL_416634;1
EPI_ISL_416635;1
EPI_ISL_416636;1
EPI_ISL_416637;1
EPI_ISL_416638;1
EPI_ISL_416639;1
EPI_ISL_416640;1
EPI_ISL_416641;1
EPI_ISL_416642;1
EPI_ISL_416643;1
EPI_ISL_416644;1
EPI_ISL_416645;1
EPI_ISL_416646;1
EPI_ISL_416647;1
EPI_ISL_416648;1
EPI_ISL_416649;1
EPI_ISL_416650;1
